,game_id,round,p1,p2,winner,model_choice,model0,model1,model2,model3,model4,model5,timestamp,ip_address
0,0,0,2,1,1,0,1,0,0,0,0,0,2020-12-15 19:50:16.567257,127.0.0.1
1,0,1,0,1,2,0,1,0,0,0,0,0,2020-12-15 19:50:20.634046,127.0.0.1
2,0,2,0,2,1,0,2,2,0,1,0,0,2020-12-15 19:50:22.940579,127.0.0.1
3,0,3,1,0,1,3,2,1,1,0,0,0,2020-12-15 19:50:24.921920,127.0.0.1
4,0,4,1,0,1,0,0,0,1,2,0,0,2020-12-15 19:50:26.241359,127.0.0.1
5,0,5,2,2,0,4,0,2,2,0,2,2,2020-12-15 19:50:27.766898,127.0.0.1
6,0,6,2,1,1,3,1,1,0,1,2,2,2020-12-15 19:50:29.414213,127.0.0.1
7,1,0,1,0,1,0,0,0,0,0,0,0,2020-12-16 00:11:57.449562,127.0.0.1
8,1,1,2,0,2,0,0,0,2,2,0,0,2020-12-16 00:11:59.269867,127.0.0.1
9,1,2,2,1,1,0,1,1,0,2,0,0,2020-12-16 00:12:00.507946,127.0.0.1
10,1,3,1,0,1,2,1,0,0,2,0,0,2020-12-16 00:12:02.048172,127.0.0.1
11,1,4,1,2,2,3,0,1,0,2,0,0,2020-12-16 00:12:03.033744,127.0.0.1
12,1,5,2,0,2,3,0,2,2,0,2,1,2020-12-16 00:12:04.311734,127.0.0.1
13,1,6,2,2,0,3,1,2,0,2,2,0,2020-12-16 00:12:05.387128,127.0.0.1
14,1,7,1,2,2,3,1,0,0,2,0,1,2020-12-16 00:12:06.964542,127.0.0.1
15,1,8,0,2,1,3,0,0,0,2,2,0,2020-12-16 00:12:20.162903,127.0.0.1
16,1,9,0,1,2,3,2,0,0,1,0,2,2020-12-16 00:12:22.657781,127.0.0.1
17,1,10,1,1,0,3,2,0,0,1,2,2,2020-12-16 00:12:25.350128,127.0.0.1
18,1,11,1,1,0,3,0,1,2,1,1,0,2020-12-16 00:12:30.175166,127.0.0.1
19,1,12,2,1,1,3,0,2,2,1,0,0,2020-12-16 00:12:31.870126,127.0.0.1
20,1,13,2,2,0,4,1,1,2,1,2,0,2020-12-16 00:12:33.340588,127.0.0.1
21,1,14,0,1,2,5,1,0,0,1,2,1,2020-12-16 00:12:35.241980,127.0.0.1
22,1,15,0,0,0,5,2,2,0,1,0,0,2020-12-16 00:12:38.628482,127.0.0.1
23,1,16,1,2,2,5,2,1,0,1,0,2,2020-12-16 00:12:41.840254,127.0.0.1
24,1,17,2,0,2,5,0,0,2,1,1,0,2020-12-16 00:12:44.104051,127.0.0.1
25,1,18,2,1,1,5,1,1,0,1,0,1,2020-12-16 00:12:46.562890,127.0.0.1
26,1,19,2,0,2,5,1,1,0,1,0,0,2020-12-16 00:12:48.428401,127.0.0.1
27,1,20,1,1,0,5,0,0,0,1,2,1,2020-12-16 00:12:52.329520,127.0.0.1
28,1,21,0,0,0,5,0,2,0,1,0,0,2020-12-16 00:12:55.212195,127.0.0.1
29,1,22,0,1,2,5,2,0,0,1,1,1,2020-12-16 00:12:56.771521,127.0.0.1
30,1,23,2,2,0,5,2,0,0,1,2,2,2020-12-16 00:12:59.384993,127.0.0.1
31,1,24,1,1,0,5,1,2,0,1,2,1,2020-12-16 00:13:01.415424,127.0.0.1
32,1,25,1,0,1,5,0,1,0,1,1,0,2020-12-16 00:13:03.056427,127.0.0.1
33,1,26,2,2,0,4,0,1,0,1,2,1,2020-12-16 00:13:05.786051,127.0.0.1
34,1,27,0,2,1,4,1,2,0,1,2,2,2020-12-16 00:13:08.425665,127.0.0.1
35,1,28,0,0,0,4,2,2,0,1,0,1,2020-12-16 00:13:10.791965,127.0.0.1
36,1,29,0,1,2,4,2,2,0,1,1,1,2020-12-16 00:13:15.634018,127.0.0.1
