,record,game_id,n,p1,p2,winner,model_choice,model0,model1,model2,model3,model4
1504,5,34,9,2,1,1,5,2,2,2,0,1
1505,5,34,10,1,1,0,3,1,2,2,1,1
1506,5,34,11,1,1,0,3,0,1,2,1,2
1507,5,34,12,1,2,2,2,0,1,2,1,2
1508,5,34,13,1,2,2,2,2,1,2,1,2
1509,5,34,14,0,2,1,2,2,2,2,1,0
1510,5,34,15,0,0,0,3,2,1,2,0,2
1511,5,34,16,0,0,0,3,2,1,2,0,2
1512,5,34,17,1,0,1,3,1,1,2,0,1
1513,5,34,18,2,2,0,1,0,2,2,0,1
1514,5,34,19,0,0,0,3,1,1,2,0,2
1515,5,34,20,0,2,1,1,2,2,2,0,1
1516,5,34,21,1,2,2,1,2,2,2,0,2
1517,5,34,22,2,0,2,3,2,2,2,0,2
1518,5,34,23,1,0,1,1,0,0,2,0,2
1519,5,34,24,0,0,0,3,1,1,2,0,1
1520,5,34,25,1,0,1,1,0,0,2,0,0
1521,5,34,26,2,2,0,1,2,2,2,0,0
1522,5,34,27,1,2,2,5,0,0,2,0,1
1523,5,34,28,0,0,0,5,1,1,2,0,1
1524,5,34,0,1,2,2,0,2,0,0,0,0
1525,5,34,29,1,0,1,5,2,2,2,0,2
1526,5,34,1,0,0,0,0,0,0,2,2,0
1527,5,34,30,2,1,1,4,0,0,2,0,1
1528,5,34,2,1,2,2,0,2,0,2,1,0
1529,5,34,31,1,1,0,4,0,0,2,0,1
1530,5,34,32,0,0,0,5,0,0,2,0,2
1531,5,34,3,2,0,2,0,0,0,2,1,0
1532,5,34,33,1,1,0,5,2,2,2,0,1
1533,5,34,4,2,1,1,0,1,1,2,1,0
1534,5,34,34,2,1,1,5,0,0,2,0,1
1535,5,34,5,0,0,0,4,1,0,0,1,0
1536,5,34,6,1,2,2,0,2,2,0,1,0
1537,5,34,7,1,0,1,0,0,0,2,1,0
1538,5,34,8,0,1,2,5,0,0,2,1,0
1539,5,34,9,2,1,1,5,2,2,2,0,1
1540,5,34,10,1,1,0,3,1,2,2,1,1
1541,5,34,11,1,1,0,3,0,1,2,1,2
1542,5,34,12,1,2,2,2,0,1,2,1,2
1543,5,34,13,1,2,2,2,2,1,2,1,2
1544,5,34,14,0,2,1,2,2,2,2,1,0
1545,5,34,15,0,0,0,3,2,1,2,0,2
1546,5,34,16,0,0,0,3,2,1,2,0,2
1547,5,34,17,1,0,1,3,1,1,2,0,1
1548,5,34,18,2,2,0,1,0,2,2,0,1
1549,5,34,19,0,0,0,3,1,1,2,0,2
1550,5,34,20,0,2,1,1,2,2,2,0,1
1551,5,34,21,1,2,2,1,2,2,2,0,2
1552,5,34,22,2,0,2,3,2,2,2,0,2
1553,5,34,23,1,0,1,1,0,0,2,0,2
1554,5,34,24,0,0,0,3,1,1,2,0,1
1555,5,34,25,1,0,1,1,0,0,2,0,0
1556,5,34,26,2,2,0,1,2,2,2,0,0
1557,5,34,27,1,2,2,5,0,0,2,0,1
1558,5,34,28,0,0,0,5,1,1,2,0,1
1559,5,34,29,1,0,1,5,2,2,2,0,2
1560,5,34,30,2,1,1,4,0,0,2,0,1
1561,5,34,31,1,1,0,4,0,0,2,0,1
1562,5,34,32,0,0,0,5,0,0,2,0,2
1563,5,34,33,1,1,0,5,2,2,2,0,1
1564,5,34,34,2,1,1,5,0,0,2,0,1
1565,5,34,35,0,1,2,1,1,1,2,0,2
1566,5,35,0,1,2,2,0,2,0,0,0,0
1567,5,35,1,0,0,0,0,0,0,2,2,0
1568,5,35,2,1,2,2,0,2,0,2,1,0
1569,5,35,3,2,0,2,0,0,0,2,1,0
1570,5,35,4,2,1,1,0,1,1,2,1,0
1571,5,35,5,0,0,0,4,1,0,0,1,0
1572,5,35,6,1,2,2,0,2,2,0,1,0
1573,5,35,7,1,0,1,0,0,0,2,1,0
1574,5,35,8,0,1,2,5,0,0,2,1,0
1575,5,35,9,2,1,1,5,2,2,2,0,1
1576,5,35,10,1,1,0,3,1,2,2,1,1
1577,5,35,11,1,1,0,3,0,1,2,1,2
1578,5,35,12,1,2,2,2,0,1,2,1,2
1579,5,35,13,1,2,2,2,2,1,2,1,2
1580,5,35,14,0,2,1,2,2,2,2,1,0
1581,5,35,15,0,0,0,3,2,1,2,0,2
1582,5,35,16,0,0,0,3,2,1,2,0,2
1583,5,35,17,1,0,1,3,1,1,2,0,1
1584,5,35,18,2,2,0,1,0,2,2,0,1
1585,5,35,19,0,0,0,3,1,1,2,0,2
1586,5,35,20,0,2,1,1,2,2,2,0,1
1587,5,35,21,1,2,2,1,2,2,2,0,2
1588,5,35,22,2,0,2,3,2,2,2,0,2
1589,5,35,23,1,0,1,1,0,0,2,0,2
1590,5,35,24,0,0,0,3,1,1,2,0,1
1591,5,35,25,1,0,1,1,0,0,2,0,0
1592,5,35,26,2,2,0,1,2,2,2,0,0
1593,5,35,27,1,2,2,5,0,0,2,0,1
1594,5,35,28,0,0,0,5,1,1,2,0,1
1595,5,35,29,1,0,1,5,2,2,2,0,2
1596,5,35,30,2,1,1,4,0,0,2,0,1
1597,5,35,31,1,1,0,4,0,0,2,0,1
1598,5,35,32,0,0,0,5,0,0,2,0,2
1599,5,35,33,1,1,0,5,2,2,2,0,1
1600,5,35,34,2,1,1,5,0,0,2,0,1
1601,5,35,0,1,2,2,0,2,0,0,0,0
1602,5,35,35,0,1,2,1,1,1,2,0,2
1603,5,35,1,0,0,0,0,0,0,2,2,0
1604,5,35,36,0,2,1,1,2,2,2,0,2
1605,5,35,2,1,2,2,0,2,0,2,1,0
1606,5,35,3,2,0,2,0,0,0,2,1,0
1607,5,35,4,2,1,1,0,1,1,2,1,0
1608,5,35,5,0,0,0,4,1,0,0,1,0
1609,5,35,6,1,2,2,0,2,2,0,1,0
1610,5,35,7,1,0,1,0,0,0,2,1,0
1611,5,35,8,0,1,2,5,0,0,2,1,0
1612,5,35,9,2,1,1,5,2,2,2,0,1
1613,5,35,10,1,1,0,3,1,2,2,1,1
1614,5,35,11,1,1,0,3,0,1,2,1,2
1615,5,35,12,1,2,2,2,0,1,2,1,2
1616,5,35,13,1,2,2,2,2,1,2,1,2
1617,5,35,14,0,2,1,2,2,2,2,1,0
1618,5,35,15,0,0,0,3,2,1,2,0,2
1619,5,35,16,0,0,0,3,2,1,2,0,2
1620,5,35,17,1,0,1,3,1,1,2,0,1
1621,5,35,18,2,2,0,1,0,2,2,0,1
1622,5,35,19,0,0,0,3,1,1,2,0,2
1623,5,35,20,0,2,1,1,2,2,2,0,1
1624,5,35,21,1,2,2,1,2,2,2,0,2
1625,5,35,22,2,0,2,3,2,2,2,0,2
1626,5,35,23,1,0,1,1,0,0,2,0,2
1627,5,35,24,0,0,0,3,1,1,2,0,1
1628,5,35,25,1,0,1,1,0,0,2,0,0
1629,5,35,26,2,2,0,1,2,2,2,0,0
1630,5,35,27,1,2,2,5,0,0,2,0,1
1631,5,35,28,0,0,0,5,1,1,2,0,1
1632,5,35,29,1,0,1,5,2,2,2,0,2
1633,5,35,30,2,1,1,4,0,0,2,0,1
1634,5,35,31,1,1,0,4,0,0,2,0,1
1635,5,35,32,0,0,0,5,0,0,2,0,2
1636,5,36,0,1,2,2,0,2,0,0,0,0
1637,5,35,33,1,1,0,5,2,2,2,0,1
1638,5,36,1,0,0,0,0,0,0,2,2,0
1639,5,35,34,2,1,1,5,0,0,2,0,1
1640,5,36,2,1,2,2,0,2,0,2,1,0
1641,5,35,35,0,1,2,1,1,1,2,0,2
1642,5,36,3,2,0,2,0,0,0,2,1,0
1643,5,35,36,0,2,1,1,2,2,2,0,2
1644,5,36,4,2,1,1,0,1,1,2,1,0
1645,5,35,37,1,2,2,1,2,2,2,0,1
1646,5,36,5,0,0,0,4,1,0,0,1,0
1647,5,36,6,1,2,2,0,2,2,0,1,0
1648,5,36,7,1,0,1,0,0,0,2,1,0
1649,5,36,8,0,1,2,5,0,0,2,1,0
1650,5,36,9,2,1,1,5,2,2,2,0,1
1651,5,36,10,1,1,0,3,1,2,2,1,1
1652,5,36,11,1,1,0,3,0,1,2,1,2
1653,5,36,12,1,2,2,2,0,1,2,1,2
1654,5,36,13,1,2,2,2,2,1,2,1,2
1655,5,36,14,0,2,1,2,2,2,2,1,0
1656,5,36,15,0,0,0,3,2,1,2,0,2
1657,5,36,16,0,0,0,3,2,1,2,0,2
1658,5,36,17,1,0,1,3,1,1,2,0,1
1659,5,36,18,2,2,0,1,0,2,2,0,1
1660,5,36,19,0,0,0,3,1,1,2,0,2
1661,5,36,20,0,2,1,1,2,2,2,0,1
1662,5,36,21,1,2,2,1,2,2,2,0,2
1663,5,36,22,2,0,2,3,2,2,2,0,2
1664,5,36,23,1,0,1,1,0,0,2,0,2
1665,5,36,24,0,0,0,3,1,1,2,0,1
1666,5,36,25,1,0,1,1,0,0,2,0,0
1667,5,36,26,2,2,0,1,2,2,2,0,0
1668,5,36,27,1,2,2,5,0,0,2,0,1
1669,5,36,28,0,0,0,5,1,1,2,0,1
1670,5,36,29,1,0,1,5,2,2,2,0,2
1671,5,36,30,2,1,1,4,0,0,2,0,1
1672,5,36,31,1,1,0,4,0,0,2,0,1
1673,5,36,32,0,0,0,5,0,0,2,0,2
1674,5,36,33,1,1,0,5,2,2,2,0,1
1675,5,36,34,2,1,1,5,0,0,2,0,1
1676,5,36,35,0,1,2,1,1,1,2,0,2
1677,5,36,36,0,2,1,1,2,2,2,0,2
1678,5,36,37,1,2,2,1,2,2,2,0,1
1679,5,36,38,2,0,2,1,0,0,2,0,1
1680,5,36,0,1,2,2,0,2,0,0,0,0
1681,5,36,1,0,0,0,0,0,0,2,2,0
1682,5,36,2,1,2,2,0,2,0,2,1,0
1683,5,36,3,2,0,2,0,0,0,2,1,0
1684,5,36,4,2,1,1,0,1,1,2,1,0
1685,5,36,5,0,0,0,4,1,0,0,1,0
1686,5,36,6,1,2,2,0,2,2,0,1,0
1687,5,36,7,1,0,1,0,0,0,2,1,0
1688,5,36,8,0,1,2,5,0,0,2,1,0
1689,5,36,9,2,1,1,5,2,2,2,0,1
1690,5,36,10,1,1,0,3,1,2,2,1,1
1691,5,36,11,1,1,0,3,0,1,2,1,2
1692,5,36,12,1,2,2,2,0,1,2,1,2
1693,5,36,13,1,2,2,2,2,1,2,1,2
1694,5,36,14,0,2,1,2,2,2,2,1,0
1695,5,36,15,0,0,0,3,2,1,2,0,2
1696,5,36,16,0,0,0,3,2,1,2,0,2
1697,5,36,17,1,0,1,3,1,1,2,0,1
1698,5,36,18,2,2,0,1,0,2,2,0,1
1699,5,36,19,0,0,0,3,1,1,2,0,2
1700,5,36,20,0,2,1,1,2,2,2,0,1
1701,5,36,21,1,2,2,1,2,2,2,0,2
1702,5,36,22,2,0,2,3,2,2,2,0,2
1703,5,36,23,1,0,1,1,0,0,2,0,2
1704,5,36,24,0,0,0,3,1,1,2,0,1
1705,5,36,25,1,0,1,1,0,0,2,0,0
1706,5,36,26,2,2,0,1,2,2,2,0,0
1707,5,36,27,1,2,2,5,0,0,2,0,1
1708,5,36,28,0,0,0,5,1,1,2,0,1
1709,5,36,29,1,0,1,5,2,2,2,0,2
1710,5,36,30,2,1,1,4,0,0,2,0,1
1711,5,36,31,1,1,0,4,0,0,2,0,1
1712,5,36,32,0,0,0,5,0,0,2,0,2
1713,5,36,33,1,1,0,5,2,2,2,0,1
1714,5,36,34,2,1,1,5,0,0,2,0,1
1715,5,37,0,1,2,2,0,2,0,0,0,0
1716,5,36,35,0,1,2,1,1,1,2,0,2
1717,5,37,1,0,0,0,0,0,0,2,2,0
1718,5,36,36,0,2,1,1,2,2,2,0,2
1719,5,37,2,1,2,2,0,2,0,2,1,0
1720,5,36,37,1,2,2,1,2,2,2,0,1
1721,5,37,3,2,0,2,0,0,0,2,1,0
1722,5,36,38,2,0,2,1,0,0,2,0,1
1723,5,37,4,2,1,1,0,1,1,2,1,0
1724,5,36,39,0,1,2,1,1,1,2,0,0
1725,5,37,5,0,0,0,4,1,0,0,1,0
1726,5,37,6,1,2,2,0,2,2,0,1,0
1727,5,37,7,1,0,1,0,0,0,2,1,0
1728,5,37,8,0,1,2,5,0,0,2,1,0
1729,5,37,9,2,1,1,5,2,2,2,0,1
1730,5,37,10,1,1,0,3,1,2,2,1,1
1731,5,37,11,1,1,0,3,0,1,2,1,2
1732,5,37,12,1,2,2,2,0,1,2,1,2
1733,5,37,13,1,2,2,2,2,1,2,1,2
1734,5,37,14,0,2,1,2,2,2,2,1,0
1735,5,37,15,0,0,0,3,2,1,2,0,2
1736,5,37,16,0,0,0,3,2,1,2,0,2
1737,5,37,17,1,0,1,3,1,1,2,0,1
1738,5,37,18,2,2,0,1,0,2,2,0,1
1739,5,37,19,0,0,0,3,1,1,2,0,2
1740,5,37,20,0,2,1,1,2,2,2,0,1
1741,5,37,21,1,2,2,1,2,2,2,0,2
1742,5,37,22,2,0,2,3,2,2,2,0,2
1743,5,37,23,1,0,1,1,0,0,2,0,2
1744,5,37,24,0,0,0,3,1,1,2,0,1
1745,5,37,25,1,0,1,1,0,0,2,0,0
1746,5,37,26,2,2,0,1,2,2,2,0,0
1747,5,37,27,1,2,2,5,0,0,2,0,1
1748,5,37,28,0,0,0,5,1,1,2,0,1
1749,5,37,29,1,0,1,5,2,2,2,0,2
1750,5,37,30,2,1,1,4,0,0,2,0,1
1751,5,37,31,1,1,0,4,0,0,2,0,1
1752,5,37,32,0,0,0,5,0,0,2,0,2
1753,5,37,33,1,1,0,5,2,2,2,0,1
1754,5,37,34,2,1,1,5,0,0,2,0,1
1755,5,37,35,0,1,2,1,1,1,2,0,2
1756,5,37,36,0,2,1,1,2,2,2,0,2
1757,5,37,37,1,2,2,1,2,2,2,0,1
1758,5,37,38,2,0,2,1,0,0,2,0,1
1759,5,37,39,0,1,2,1,1,1,2,0,0
1760,5,37,40,1,2,2,1,2,2,2,0,2
1761,5,37,0,1,2,2,0,2,0,0,0,0
1762,5,37,1,0,0,0,0,0,0,2,2,0
1763,5,37,2,1,2,2,0,2,0,2,1,0
1764,5,37,3,2,0,2,0,0,0,2,1,0
1765,5,37,4,2,1,1,0,1,1,2,1,0
1766,5,37,5,0,0,0,4,1,0,0,1,0
1767,5,37,6,1,2,2,0,2,2,0,1,0
1768,5,37,7,1,0,1,0,0,0,2,1,0
1769,5,37,8,0,1,2,5,0,0,2,1,0
1770,5,37,9,2,1,1,5,2,2,2,0,1
1771,5,37,10,1,1,0,3,1,2,2,1,1
1772,5,37,11,1,1,0,3,0,1,2,1,2
1773,5,37,12,1,2,2,2,0,1,2,1,2
1774,5,37,13,1,2,2,2,2,1,2,1,2
1775,5,37,14,0,2,1,2,2,2,2,1,0
1776,5,37,15,0,0,0,3,2,1,2,0,2
1777,5,37,16,0,0,0,3,2,1,2,0,2
1778,5,37,17,1,0,1,3,1,1,2,0,1
1779,5,37,18,2,2,0,1,0,2,2,0,1
1780,5,37,19,0,0,0,3,1,1,2,0,2
1781,5,37,20,0,2,1,1,2,2,2,0,1
1782,5,37,21,1,2,2,1,2,2,2,0,2
1783,5,37,22,2,0,2,3,2,2,2,0,2
1784,5,37,23,1,0,1,1,0,0,2,0,2
1785,5,37,24,0,0,0,3,1,1,2,0,1
1786,5,37,25,1,0,1,1,0,0,2,0,0
1787,5,37,26,2,2,0,1,2,2,2,0,0
1788,5,37,27,1,2,2,5,0,0,2,0,1
1789,5,37,28,0,0,0,5,1,1,2,0,1
1790,5,37,29,1,0,1,5,2,2,2,0,2
1791,5,37,30,2,1,1,4,0,0,2,0,1
1792,5,37,31,1,1,0,4,0,0,2,0,1
1793,5,37,32,0,0,0,5,0,0,2,0,2
1794,5,37,33,1,1,0,5,2,2,2,0,1
1795,5,37,34,2,1,1,5,0,0,2,0,1
1796,5,38,0,1,2,2,0,2,0,0,0,0
1797,5,37,35,0,1,2,1,1,1,2,0,2
1798,5,37,36,0,2,1,1,2,2,2,0,2
1799,5,38,1,0,0,0,0,0,0,2,2,0
1800,5,37,37,1,2,2,1,2,2,2,0,1
1801,5,38,2,1,2,2,0,2,0,2,1,0
1802,5,37,38,2,0,2,1,0,0,2,0,1
1803,5,38,3,2,0,2,0,0,0,2,1,0
1804,5,37,39,0,1,2,1,1,1,2,0,0
1805,5,38,4,2,1,1,0,1,1,2,1,0
1806,5,37,40,1,2,2,1,2,2,2,0,2
1807,5,38,5,0,0,0,4,1,0,0,1,0
1808,5,37,41,2,0,2,1,0,0,2,0,1
1809,5,38,6,1,2,2,0,2,2,0,1,0
1810,5,38,7,1,0,1,0,0,0,2,1,0
1811,5,38,8,0,1,2,5,0,0,2,1,0
1812,5,38,9,2,1,1,5,2,2,2,0,1
1813,5,38,10,1,1,0,3,1,2,2,1,1
1814,5,38,11,1,1,0,3,0,1,2,1,2
1815,5,38,12,1,2,2,2,0,1,2,1,2
1816,5,38,13,1,2,2,2,2,1,2,1,2
1817,5,38,14,0,2,1,2,2,2,2,1,0
1818,5,38,15,0,0,0,3,2,1,2,0,2
1819,5,38,16,0,0,0,3,2,1,2,0,2
1820,5,38,17,1,0,1,3,1,1,2,0,1
1821,5,38,18,2,2,0,1,0,2,2,0,1
1822,5,38,19,0,0,0,3,1,1,2,0,2
1823,5,38,20,0,2,1,1,2,2,2,0,1
1824,5,38,21,1,2,2,1,2,2,2,0,2
1825,5,38,22,2,0,2,3,2,2,2,0,2
1826,5,38,23,1,0,1,1,0,0,2,0,2
1827,5,38,24,0,0,0,3,1,1,2,0,1
1828,5,38,25,1,0,1,1,0,0,2,0,0
1829,5,38,26,2,2,0,1,2,2,2,0,0
1830,5,38,27,1,2,2,5,0,0,2,0,1
1831,5,38,28,0,0,0,5,1,1,2,0,1
1832,5,38,29,1,0,1,5,2,2,2,0,2
1833,5,38,30,2,1,1,4,0,0,2,0,1
1834,5,38,31,1,1,0,4,0,0,2,0,1
1835,5,38,32,0,0,0,5,0,0,2,0,2
1836,5,38,33,1,1,0,5,2,2,2,0,1
1837,5,38,34,2,1,1,5,0,0,2,0,1
1838,5,38,35,0,1,2,1,1,1,2,0,2
1839,5,38,0,1,2,2,0,2,0,0,0,0
1840,5,38,36,0,2,1,1,2,2,2,0,2
1841,5,38,1,0,0,0,0,0,0,2,2,0
1842,5,38,37,1,2,2,1,2,2,2,0,1
1843,5,38,2,1,2,2,0,2,0,2,1,0
1844,5,38,38,2,0,2,1,0,0,2,0,1
1845,5,38,3,2,0,2,0,0,0,2,1,0
1846,5,38,4,2,1,1,0,1,1,2,1,0
1847,5,38,39,0,1,2,1,1,1,2,0,0
1848,5,38,5,0,0,0,4,1,0,0,1,0
1849,5,38,40,1,2,2,1,2,2,2,0,2
1850,5,38,6,1,2,2,0,2,2,0,1,0
1851,5,38,41,2,0,2,1,0,0,2,0,1
1852,5,38,7,1,0,1,0,0,0,2,1,0
1853,5,38,42,1,1,0,1,1,1,2,0,2
1854,5,38,8,0,1,2,5,0,0,2,1,0
1855,5,38,9,2,1,1,5,2,2,2,0,1
1856,5,38,10,1,1,0,3,1,2,2,1,1
1857,5,38,11,1,1,0,3,0,1,2,1,2
1858,5,38,12,1,2,2,2,0,1,2,1,2
1859,5,38,13,1,2,2,2,2,1,2,1,2
1860,5,38,14,0,2,1,2,2,2,2,1,0
1861,5,38,15,0,0,0,3,2,1,2,0,2
1862,5,38,16,0,0,0,3,2,1,2,0,2
1863,5,38,17,1,0,1,3,1,1,2,0,1
1864,5,38,18,2,2,0,1,0,2,2,0,1
1865,5,38,19,0,0,0,3,1,1,2,0,2
1866,5,38,20,0,2,1,1,2,2,2,0,1
1867,5,38,21,1,2,2,1,2,2,2,0,2
1868,5,38,22,2,0,2,3,2,2,2,0,2
1869,5,38,23,1,0,1,1,0,0,2,0,2
1870,5,38,24,0,0,0,3,1,1,2,0,1
1871,5,38,25,1,0,1,1,0,0,2,0,0
1872,5,38,26,2,2,0,1,2,2,2,0,0
1873,5,38,27,1,2,2,5,0,0,2,0,1
1874,5,38,28,0,0,0,5,1,1,2,0,1
1875,5,38,29,1,0,1,5,2,2,2,0,2
1876,5,38,30,2,1,1,4,0,0,2,0,1
1877,5,38,31,1,1,0,4,0,0,2,0,1
1878,5,38,32,0,0,0,5,0,0,2,0,2
1879,5,38,33,1,1,0,5,2,2,2,0,1
1880,5,38,34,2,1,1,5,0,0,2,0,1
1881,5,38,35,0,1,2,1,1,1,2,0,2
1882,5,38,36,0,2,1,1,2,2,2,0,2
1883,5,38,37,1,2,2,1,2,2,2,0,1
1884,5,38,38,2,0,2,1,0,0,2,0,1
1885,5,38,39,0,1,2,1,1,1,2,0,0
1886,5,38,40,1,2,2,1,2,2,2,0,2
1887,5,38,41,2,0,2,1,0,0,2,0,1
1888,5,38,42,1,1,0,1,1,1,2,0,2
1889,5,38,43,0,0,0,1,0,0,2,0,0
1890,5,39,0,1,2,2,0,2,0,0,0,0
1891,5,39,1,0,0,0,0,0,0,2,2,0
1892,5,39,2,1,2,2,0,2,0,2,1,0
1893,5,39,3,2,0,2,0,0,0,2,1,0
1894,5,39,4,2,1,1,0,1,1,2,1,0
1895,5,39,5,0,0,0,4,1,0,0,1,0
1896,5,39,6,1,2,2,0,2,2,0,1,0
1897,5,39,7,1,0,1,0,0,0,2,1,0
1898,5,39,8,0,1,2,5,0,0,2,1,0
1899,5,39,9,2,1,1,5,2,2,2,0,1
1900,5,39,10,1,1,0,3,1,2,2,1,1
1901,5,39,11,1,1,0,3,0,1,2,1,2
1902,5,39,12,1,2,2,2,0,1,2,1,2
1903,5,39,13,1,2,2,2,2,1,2,1,2
1904,5,39,14,0,2,1,2,2,2,2,1,0
1905,5,39,15,0,0,0,3,2,1,2,0,2
1906,5,39,16,0,0,0,3,2,1,2,0,2
1907,5,39,17,1,0,1,3,1,1,2,0,1
1908,5,39,18,2,2,0,1,0,2,2,0,1
1909,5,39,19,0,0,0,3,1,1,2,0,2
1910,5,39,20,0,2,1,1,2,2,2,0,1
1911,5,39,21,1,2,2,1,2,2,2,0,2
1912,5,39,22,2,0,2,3,2,2,2,0,2
1913,5,39,23,1,0,1,1,0,0,2,0,2
1914,5,39,24,0,0,0,3,1,1,2,0,1
1915,5,39,25,1,0,1,1,0,0,2,0,0
1916,5,39,26,2,2,0,1,2,2,2,0,0
1917,5,39,27,1,2,2,5,0,0,2,0,1
1918,5,39,28,0,0,0,5,1,1,2,0,1
1919,5,39,29,1,0,1,5,2,2,2,0,2
1920,5,39,30,2,1,1,4,0,0,2,0,1
1921,5,39,31,1,1,0,4,0,0,2,0,1
1922,5,39,32,0,0,0,5,0,0,2,0,2
1923,5,39,33,1,1,0,5,2,2,2,0,1
1924,5,39,34,2,1,1,5,0,0,2,0,1
1925,5,39,35,0,1,2,1,1,1,2,0,2
1926,5,39,36,0,2,1,1,2,2,2,0,2
1927,5,39,37,1,2,2,1,2,2,2,0,1
1928,5,39,38,2,0,2,1,0,0,2,0,1
1929,5,39,39,0,1,2,1,1,1,2,0,0
1930,5,39,0,1,2,2,0,2,0,0,0,0
1931,5,39,40,1,2,2,1,2,2,2,0,2
1932,5,39,1,0,0,0,0,0,0,2,2,0
1933,5,39,41,2,0,2,1,0,0,2,0,1
1934,5,39,2,1,2,2,0,2,0,2,1,0
1935,5,39,42,1,1,0,1,1,1,2,0,2
1936,5,39,3,2,0,2,0,0,0,2,1,0
1937,5,39,43,0,0,0,1,0,0,2,0,0
1938,5,39,44,0,2,1,1,2,2,2,0,1
1939,5,39,4,2,1,1,0,1,1,2,1,0
1940,5,39,5,0,0,0,4,1,0,0,1,0
1941,5,39,6,1,2,2,0,2,2,0,1,0
1942,5,39,7,1,0,1,0,0,0,2,1,0
1943,5,39,8,0,1,2,5,0,0,2,1,0
1944,5,39,9,2,1,1,5,2,2,2,0,1
1945,5,39,10,1,1,0,3,1,2,2,1,1
1946,5,39,11,1,1,0,3,0,1,2,1,2
1947,5,39,12,1,2,2,2,0,1,2,1,2
1948,5,39,13,1,2,2,2,2,1,2,1,2
1949,5,39,14,0,2,1,2,2,2,2,1,0
1950,5,39,15,0,0,0,3,2,1,2,0,2
1951,5,39,16,0,0,0,3,2,1,2,0,2
1952,5,39,17,1,0,1,3,1,1,2,0,1
1953,5,39,18,2,2,0,1,0,2,2,0,1
1954,5,39,19,0,0,0,3,1,1,2,0,2
1955,5,39,20,0,2,1,1,2,2,2,0,1
1956,5,39,21,1,2,2,1,2,2,2,0,2
1957,5,39,22,2,0,2,3,2,2,2,0,2
1958,5,39,23,1,0,1,1,0,0,2,0,2
1959,5,39,24,0,0,0,3,1,1,2,0,1
1960,5,39,25,1,0,1,1,0,0,2,0,0
1961,5,39,26,2,2,0,1,2,2,2,0,0
1962,5,39,27,1,2,2,5,0,0,2,0,1
1963,5,39,28,0,0,0,5,1,1,2,0,1
1964,5,39,29,1,0,1,5,2,2,2,0,2
1965,5,39,30,2,1,1,4,0,0,2,0,1
1966,5,39,31,1,1,0,4,0,0,2,0,1
1967,5,39,32,0,0,0,5,0,0,2,0,2
1968,5,39,33,1,1,0,5,2,2,2,0,1
1969,5,39,34,2,1,1,5,0,0,2,0,1
1970,5,39,35,0,1,2,1,1,1,2,0,2
1971,5,39,36,0,2,1,1,2,2,2,0,2
1972,5,39,37,1,2,2,1,2,2,2,0,1
1973,5,39,38,2,0,2,1,0,0,2,0,1
1974,5,39,39,0,1,2,1,1,1,2,0,0
1975,5,39,40,1,2,2,1,2,2,2,0,2
1976,5,39,41,2,0,2,1,0,0,2,0,1
1977,5,39,42,1,1,0,1,1,1,2,0,2
1978,5,39,43,0,0,0,1,0,0,2,0,0
1979,5,39,44,0,2,1,1,2,2,2,0,1
1980,5,39,45,1,0,1,1,2,0,2,0,2
1981,5,40,0,1,2,2,0,2,0,0,0,0
1982,5,40,1,0,0,0,0,0,0,2,2,0
1983,5,40,2,1,2,2,0,2,0,2,1,0
1984,5,40,3,2,0,2,0,0,0,2,1,0
1985,5,40,4,2,1,1,0,1,1,2,1,0
1986,5,40,5,0,0,0,4,1,0,0,1,0
1987,5,40,6,1,2,2,0,2,2,0,1,0
1988,5,40,7,1,0,1,0,0,0,2,1,0
1989,5,40,8,0,1,2,5,0,0,2,1,0
1990,5,40,9,2,1,1,5,2,2,2,0,1
1991,5,40,10,1,1,0,3,1,2,2,1,1
1992,5,40,11,1,1,0,3,0,1,2,1,2
1993,5,40,12,1,2,2,2,0,1,2,1,2
1994,5,40,13,1,2,2,2,2,1,2,1,2
1995,5,40,14,0,2,1,2,2,2,2,1,0
1996,5,40,15,0,0,0,3,2,1,2,0,2
1997,5,40,16,0,0,0,3,2,1,2,0,2
1998,5,40,17,1,0,1,3,1,1,2,0,1
1999,5,40,18,2,2,0,1,0,2,2,0,1
2000,5,40,19,0,0,0,3,1,1,2,0,2
2001,5,40,20,0,2,1,1,2,2,2,0,1
2002,5,40,21,1,2,2,1,2,2,2,0,2
2003,5,40,22,2,0,2,3,2,2,2,0,2
2004,5,40,23,1,0,1,1,0,0,2,0,2
2005,5,40,24,0,0,0,3,1,1,2,0,1
2006,5,40,25,1,0,1,1,0,0,2,0,0
2007,5,40,26,2,2,0,1,2,2,2,0,0
2008,5,40,27,1,2,2,5,0,0,2,0,1
2009,5,40,28,0,0,0,5,1,1,2,0,1
2010,5,40,29,1,0,1,5,2,2,2,0,2
2011,5,40,30,2,1,1,4,0,0,2,0,1
2012,5,40,31,1,1,0,4,0,0,2,0,1
2013,5,40,32,0,0,0,5,0,0,2,0,2
2014,5,40,33,1,1,0,5,2,2,2,0,1
2015,5,40,34,2,1,1,5,0,0,2,0,1
2016,5,40,35,0,1,2,1,1,1,2,0,2
2017,5,40,36,0,2,1,1,2,2,2,0,2
2018,5,40,37,1,2,2,1,2,2,2,0,1
2019,5,40,38,2,0,2,1,0,0,2,0,1
2020,5,40,39,0,1,2,1,1,1,2,0,0
